Predicate	Abstraction
unleash	deploy_with:freedom&unleashing, !control_with:leash&unleashing
unlock	control_with:key&unlocking, imbue_with:openness&unlocking
unsheath	obtain_from:sheath&unsheathing, carry_as:threat&unsheathing
untie	imbue_with:freedom&untying
are_released_from	obtain_from:freedom*&leaving, <provide_with:release&releasing
accumulate	gather_into:pile&accumulating
clean_up	gather_into:waste_basket&cleaning
collate	gather_into:collection&collating
collect	gather_into:collection&collecting
combine	gather_into:combination&combining
compile	gather_into:compilation&compiling
consolidate	gather_into:consolidation&consolidating
convene	gather_into:grouping&convening
garner	enhance_with:self*&garnering
gather	gather_into:group&gathering
herd	gather_into:herd&herding
hoard	gather_into:hoard&hoarding
maraud_in	gather_into:horde&marauding
mix	gather_into:mix&mixing, produce_from:ingredient&mixing
muster	gather_into:cohort&mustering, enhance_with:readiness:mustering
pack	gather_into:personal_item*&packing
rack_up	gather_into:total&racking
restock	gather_into:inventory&restocking
round_up	gather_into:crowd&rounding_up
stock	gather_into:inventory&stocking
store	gather_into:store&storing, hold_in:storage&storing
sweep_up	gather_into:pile&sweeping
tally	gather_into:bottom_line&tallying
meet_at	gather_at:peer*&meeting
gather_in	gather_in:peer*&gathering
meet_in	gather_in:peer*&meeting
collect_on	obtain_from:debtor*&collecting
compile_with	produce_with:machine_code*&compiling
herd_with	gather_with:herd*&herding
sweep_with	gather_with:rubbish*&sweeping
jump_between	propel_to:self*&jumping
shift_between	propel_to:self*&shifting
switch	propel_to:self*&switching
translate_between	provide_for:translation*&translating
go_for	perform_with:enthusiasm&going, seek_with:entertainment*&going
arrive_from	propel_from:self*&arriving
break_out_of	propel_from:self*&escaping
come_from	<produce_with:upbringing&raising
desert_from	propel_from:self*&deserting
deviate_from	propel_from:self*&deviating, !respect_as:guide&deviating
disconnect_from	propel_from:self*&disconnecting
drift_away_from	propel_from:self*&drifting
embark_at	propel_from:self*&embarking
escape	propel_from:self*&escaping
escape_from	propel_from:self*&escaping
flee_from	propel_from:self*&fleeing
get_off	propel_from:self*&getting_off
get_on_at	propel_from:self*&getting_on
get_out_of	propel_from:self*&getting_out
graduate_from	propel_from:self*&graduation
grow_out_of	propel_from:self*&maturing
jump_from	propel_from:self*&jumping
leave	propel_from:self*&leaving
leave_behind	produce_for:follower&leaving
move_away_from	propel_from:self*&relocating, reject_as:abode&relocating
move_from	propel_from:self*&relocating
move_out_of	propel_from:self*&relocating, reject_as:abode&relocating
quit	propel_from:self*&quitting
recover_from	^<fix_for:doctor&curing
resign_from	propel_from:self*&resigning
retire_from	propel_from:self*&retiring, reject_as:way_of_life&retiring
retreat_from	propel_from:self*&retreating
return_from	propel_from:self*&returning
rise_from	propel_from:self*&rising
run_away_from	propel_from:self*&running_away,  reject_as:abode&running_away
step_down_from	propel_from:self*&stepping_down, reject_as:way_of_life&stepping_down
take_off_from	propel_from:self*&taking_off
travel_from	propel_from:self*&travelling
visit_from	propel_from:self*&visiting
wake_from	propel_from:self*&waking_up
walk_away_from	propel_from:self*&walking_away
arrive_in	propel_with:self*&arriving
arrive_to	propel_to:self*&arriving
commute_by	propel_with:self*&commuting
drive	propel_with:self*&driving
fly	propel_with:self*&flying, propel_through:air&flying
fly_around_in	<propel_with:self*&flying
fly_in	<propel_with:self*&flying
fly_on	<propel_with:self*&flying
race_on	propel_around:self*&racing, oppose_on:competitor*&racing
race_using	propel_around:track&racing, oppose_with:competitor*&racing
ride_in	propel_with:self*&riding
ride_on	propel_with:self*&riding
sail_around_in	propel_with:self*&sailing
sail_in	propel_with:self*&riding
sail_on	propel_with:self*&riding
tour_around	propel_around:self*&touring
travel_in	propel_with:self*&travelling
wander_around	propel_around:self*&wandering
drive_on	propel_along:self*&driving
escape_on	propel_with:self*&escaping
go_on	propel_along:self*&travelling, propel_around:self*&travelling
paddle_on	propel_along:self*&paddling
race_around	propel_around:self*&racing
set_out_on	propel_along:self*&travelling
skate_on	propel_along:self*&skating
ski_down	propel_along:self*&skiing
ski_on	propel_along:self*&skiing
slide_down	propel_along:self*&sliding
slide_on	propel_along:self*&sliding
travel_on	propel_with:self*&travelling
undertake	propel_along:self*&undertaking
walk_on	propel_along:self*&walking
walk_with	propel_with:self*&walking
climb	propel_along:self*&climbing
are_deported_to	^propel_to:government&deporting
are_sent_to	^propel_to:superior&sending
arrive_at	produce_with:thought_process&arriving, propel_to:self*&arriving
attend	propel_to:self*&attending, enter_as:attendee&attending
check_into	enter_as:guest&checking_in
descend_into	enter_as:sufferer&succumbing, ^imbue_with:event&pushing
emigrate_to	enter_as:immigrant&emigrating
fall_into	enter_as:falling_object&falling, propel_into:self*&falling
fly_to	propel_to:self*&flying
frequent	propel_to:self*&frequenting
go_back_to	propel_to:self*&returning
go_into	enter_as:beginner&joining
go_to	propel_to:self*&going
land_at	propel_to:self*&landing
lie_on	perform_on:lying_down*
move_to	propel_to:self*&relocating
retreat_to	propel_to:self*&retreating
return_to	propel_to:self*&returning
stumble_into	enter_as:falling_object&stumbling, propel_into:self*&stumbling
travel_to	propel_to:self*&travelling
turn_to	enter_as:convert&turning
visit	propel_to:self*&visiting
climb_through	propel_through:self*&climbing
climb_using	propel_with:self*
enter_via	propel_through:self*&entering
fly_using	propel_with:self*&flying
jump_with	propel_with:self*&jumping
propel_with	propel_with:self*&propelling
skate_using	propel_with:self*&skating
ski_with	propel_with:self*&skiing
slide_with	propel_with:self*&sliding
sneak_in_via	propel_through:self*&sneaking
steer_with	propel_with:self*&steering, control_with:direction*&steering
accompany	perform_with:shared_task*&accompanying, support_as:companion&accompanying
are_accompanied_by	<perform_with:shared_task*&accompanying, <support_as:companion&accompanying
are_escorted_by	<perform_with:shared_journey*&escorting,  <support_as:escort&escorting
are_escorted_on	perform_with:escort&escorting
climb_with	<perform_with:climb*&climbing, <support_as:climbing_companion&accompanying
fly_with	<perform_with:flight*&flying, <support_as:flying_companion&accompanying
sail_with	<perform_with:seamanship*&sailing, <support_as:shipmate&sailing
travel_with	<perform_with:shared_journey*&travelling,  <support_as:travel_companion&accompanying
assist	provide_to:assistance*&assisting, support_with:assistance&assisting
counsel	provide_to:counsel*&counselling, support_with:counsel&counselling
help	provide_to:help*&helping, support_with:help&helping
bury	perform_of:burial*&burying
conceal	perform_of:concealment*&concealing, !display_in:public&concealing
cover_up	perform_of:cover_up*&concealing, deceive_about:public*&concealing
hide	perform_of:concealment*&hiding
are_sheltered_in	<provide_to:shelter*&sheltering, <protect_from:threat&sheltering
are_stationed_in	^deploy_in:superior&stationing, perform_in:duty*&working
hide_in	seek_in:concealment*&hiding, <provide_to:hiding_place*&hiding
hide_on	seek_in:concealment*&hiding, <provide_to:hiding_place*&hiding
seek_shelter_in	seek_in:shelter*&sheltering, <provide_to:shelter*&sheltering
shelter_in	seek_in:shelter*&sheltering, <provide_to:shelter*&sheltering
avoid	seek_from:freedom*&avoiding, propel_from:self*&avoiding, reject_with:contact*&avoiding
elude	propel_from:self*&eluding, reject_with:contact*&avoiding
hide_from	propel_from:self*&hiding, reject_with:contact*&hiding
are_disguised_with	protect_with:identity*&disguising, <provide_to:disguise*&disguising
hide_behind	<protect_with:cover&hiding, <provide_to:hiding_place*&hiding
deposit	hold_in:safe_keeping&depositing
detain	hold_in:detention&detaining, control_of:freedom*&detaining
hang_on_to	hold_with:determination&hanging_on
hold	hold_with:grasp&holding
hold_onto	hold_with:grasp&holding
imprison	hold_in:prison&imprisoning, control_of:freedom*&imprisoning
incarcerate	hold_in:prison&incarcerating, control_of:freedom*&incarcerating
keep	control_with:determination&keeping
memorize	hold_in:memory&memorizing
reserve	obtain_from:reservation*&reserving
bank_with	hold_in:asset*&banking
store_in	hold_in:possession*&storing
identify	identify_as:candidate*&identifying
rank	identify_with:rank&ranking, perform_of:ordering*&ranking
recognize	identify_as:target*&recognizing
register	identify_as:name*&registering
remember	obtain_from:memory&remembering, perform_of:recollection*&remembering
understand	identify_with:meaning&understanding, perform_of:interpretation*&understanding
index	identify_with:index&indexing, perform_of:organization*indexing
stamp	identify_with:stamp&stamping, perform_of:marking*&stamping
impress	<respect_for:achievement&admiring, <identify_as:good_candidate&evaluating
satisfy	provide_to:satisfaction*&satisfying, perform_of:satisfaction*&satisfying
are_remembered_for	^identify_with:admirer&remembering
excel_at	perform_with:excellence&excelling
impress_with	^respect_for:admirer&admiring
fulfil	respect_as:priority&fulfilling, perform_of:completion*&fulfilling
guide	provide_to:guidance*&guiding, control_of:direction*&guiding
indoctrinate	provide_to:indoctrination*&indoctrinating, control_of:belief*&indoctrinating
influence	provide_to:influence*&influencing,  control_of:thinking*&influencing
inspire	provide_to:inspiration*&inspiring, imbue_with:inspiration&inspiring
mentor	provide_to:guidance*&mentoring, control_of:direction*&mentoring
mold	control_of:shape*&molding, control_with:mold&molding, control_of:development*&molding
navigate	control_of:direction*&navigating
navigate_along	propel_along:self*&navigating
nurture	tend_with:nurture&nurturing, control_of:development*&nurturing
radicalize	imbue_with:fundamentalism&radicalizing, control_of:belief*&radicalizing
raise	control_of:upbringing*&raising
shape	control_of:shape*&shaping
beat	control_of:shape*&beating
hammer	control_with:hammer&hammering
indoctrinate_with	control_with:zealot*&indoctrinating
inject_with	consume_with:drug*&injecting
inspire_with	provide_with:inspiration*&inspiring, attract_with:*disciple&inspiring
shape_with	control_with:shape*&shaping
manipulate_with	control_with:mind*&manipulating, control_with:behaviour*&manipulating
manipulate	control_of:thought*&manipulating
advise	provide_to:advice*&advising, support_with:advice&advising
are_read_by	inform_with:text&writing, <perform_of:analysis*&reading
educate	inform_with:syllabus&educating, imbue_with:knowledge&educating
inform	inform_with:information&informing
instruct	inform_with:instruction&instructing, control_with:instruction&instructing
lecture	inform_with:lecture&lecturing
lecture_to	inform_with:lecture&lecturing
teach	inform_with:knowledge&teaching
advise_on	inform_about:client*&advising, communicate_about:advise&advising
explain	inform_about:student*&explaining, communicate_about:explanation*&explaining
expose	inform_about:public*&exposing, communicate_about:exposé*&exposing
teach_about	inform_about:student*&teaching
teach_at	inform_in:student*&teaching
teach_in	inform_in:student*&teaching
enlighten_with	inform_with:student*&enlightening, communicate_about:insight*&enlightening
explain_with	inform_with:student*&explaining, communicate_through:insight*&explaining
illuminate_with	inform_with:student*&illuminating, communicate_through:illumination*&illuminating
teach_with	inform_with:student*&teaching, communicate_through:knowledge*&teaching
assimilate_into	enter_as:insider&assimilating
belong_to	enter_as:member&belonging
collude_in	enter_as:planner&colluding
conspire_in	enter_as:conspirator&conspiring
cooperate_in	enter_as:collaborator&cooperating
enlist_in	enter_as:enlisted_member&enlisting
enroll_in	enter_as:enrollee&enrolling
enter	enter_as:contestant&entering
enter_into	enter_as:contractual_party&entering
infiltrate	enter_as:spy&infiltrating
integrate_into	enter_as:new_member&integrating
join	enter_as:member&joining
marry_into	enter_as:in_law&marrying
move_into	enter_as:resident&relocating
sign_up_for	enter_as:paying_member&signing_up
split_into	produce_with:*division&splitting
subscribe_to	obtain_from:subscription*&subscribing, obtain_as:service&subscribing
are_enrolled_in	enter_as:enrollee&enrolling
are_deposed_from	^propel_from:opponent&deposing, ^reject_from:opponent&deposing
lack	!hold_as:asset&lacking
lose	!hold_as:asset&losing
run_out_of	!hold_as:asset&depleting, seek_as:replacement&running_out
are_denied	!obtain_as:asset&failing, ^<!provide_to:benefactor&denying
read_about	^inform_about:text&informing
are_addicted_to	seek_with:desperation&craving, <control_of:behaviour*&controlling
become_dependent_upon	seek_with:dependency&depending
cling_to	hold_as:necessity&clinging, hold_with:desperation&clinging
depend_on	seek_as:necessity&depending, imbue_with:importance&depending
hold_down	perform_with:determination&holding
owe	^<seek_from:creditor&demanding
owe_to	<seek_from:repayment*&demanding
rely_on	seek_as:necessity&depending, perform_using:core_job*&relying
require	seek_as:special_need&requiring, imbue_with:importance&requiring
gaze_at	observe_with:fascination&gazing
gaze_into	observe_with:fascination&gazing, observe_in:image*&gazing
look_into	observe_in:image*&looking
monitor	observe_with:oversight&monitoring
observe	observe_with:care&watching
patrol	observe_with:suspicion&patrolling, propel_around:self*&patrolling
peek_at	observe_with:peek&sneaking
pry_into	observe_with:intrusion&prying
see	observe_with:curiosity&seeing
spy_on	observe_with:secrecy&spying
watch	observe_with:interest&watching
watch_over	observe_with:oversight&supervising
spy_for	observe_for:target*&spying
observe_from	observe_from:target*&peering
look_through	observe_with:target*&peering
observe_with	observe_with:curiosity&prying
patrol_with	observe_with:neighborhood*&patrolling
pose_before	observe_with:self*&posing
read_with	observe_with:text*&reading
spy_with	observe_with:target*&spying
achieve	obtain_as:status&achieving
acquire	obtain_as:possession&acquiring
are_issued_with	^<provide_to:issuer&issuing
are_seeded_by	<provide_to:rank*&seeding
are_supplied_with	^<provide_to:supplier&supplying
attain	obtain_as:status&attaining
bribe	control_with:bribe&bribing, obtain_with:money&bribing
buy	obtain_as:possession&buying, obtain_with:money&buying
confiscate	obtain_from:owner&confiscating, reject_as:contraband&confiscating
detect	obtain_as:observation&detecting, observe_with:detector&detecting
dig_up	obtain_as:find&digging
discover	obtain_as:discovery&searching
find	obtain_as:possession&finding
harbor	hold_as:possession&harboring
have	obtain_as:family_member&parenting
import	obtain_as:asset&importing
inherit	obtain_as:asset&inheriting
license	obtain_as:resource&licensing
obtain	obtain_as:asset&obtaining
own	obtain_as:possession&owning
pay_for	obtain_as:possession&paying
pay_to_use	obtain_as:resource&paying
reach	obtain_as:attainment&reaching
reap	obtain_as:harvest&reaping
receive	obtain_as:resource&receiving
recoup	obtain_as:repayment&investing
rediscover	obtain_as:discovery&rediscovering
regain	obtain_as:asset&regaining
rent	obtain_as:resource&renting
score	obtain_as:credit&scoring
seize	obtain_as:asset&seizing
steal	obtain_as:asset&stealing
take	obtain_as:experience&taking
win	obtain_as:positive_outcome&winning
book	obtain_for:reservation*&booking, obtain_as:experience&booking
commission	obtain_as:possession&commissioning
commission_as	appoint_as:specialist&commissioning
extract	obtain_as:resource&extracting
break_into	obtain_from:asset*&breaking_and_entering
rob	obtain_from:asset*&robbing
steal_from	obtain_from:asset*&stealing
withdraw_from	obtain_from:fund*&withdrawing
buy_in	obtain_in:possession*&buying
shop_in	obtain_in:possession*&shopping
buy_on	obtain_with:possession*&buying
buy_with	obtain_with:possession*&buying
bet_on	seek_from:jackpot*&betting
earn	obtain_from:supplier&earning
are_paid	obtain_from:payer&earning
charge	obtain_from:client&charging
charge:suspect	communicate_to:charge*&charging
charge:criminal	communicate_to:charge*&charging, identify_as:suspect&charging
charge:felon	communicate_to:charge*&charging, identify_as:suspect&charging
charge:defendant	communicate_to:charge*&charging, identify_as:suspect&charging
charge:passenger	obtain_from:fee*&charging
uncover	identify_as:truth&uncovering
buy_off	obtain_as:ally&buying
carry_out	perform_for:superior&carrying_out
cause	produce_for:victim&causing, damage_with:victim*&causing
conduct	perform_as:process&conducting
conduct:orchestra	control_with:baton&conducting
dance	perform_as:dance&dancing
deliver_on	perform_of:delivery*&delivering
perform	perform_as:activity&performing
play	perform_as:entertainment&playing
sing	perform_as:entertainment&singing
stage	perform_as:theatre&staging
practice	perform_as:trait&practicing
dance_in	perform_at:dance*&dancing
march_in	perform_at:march*&marching
misbehave_at	perform_at:misbehaviour*&misbehaving
perform_at	perform_at:routine*&performing
perform_in	perform_at:routine*&performing
perform_on	perform_at:routine*&performing
play_in	perform_at:entertainment*&playing
sing_in	perform_at:song*&singing
swim_in	perform_at:swim*&swimming
dance_for	perform_for:dance*&dancing
die_for	perform_for:self_sacrifice*&dying
entertain	perform_for:fun_activity*&entertaining
make_amends_to	perform_for:restitution*&making_amends, provide_to:restitution*&making_amends
model_for	perform_for:pose*&modelling
perform_for	perform_for:routine*&performing
play_for	perform_for:entertainment*&playing
pose_for	perform_for:pose*&posing
score_for	perform_for:goal*&scoring, produce_for:goal*&coring
service	perform_for:service*&servicing
undress_for	perform_for:striptease*&undressing
appear_on	perform_on:act*&appearing
play_on	perform_on:fun_activity*&playing
sing_on	perform_on:song*&singing
dance_to	perform_using:dance*&dancing
sing_to	perform_for:song*&singing
play_using	perform_using:fun_activity*&playing
pluck_with	perform_using:guitar_music*&plucking
practice_using	perform_using:training*&practicing
strum_with	perform_using:guitar_music*&strumming
swim_with	perform_using:swim*&swimming
exercise	perform_of:exercise*&exercising
act_with	perform_with:act*&acting
dance_with	perform_with:dance*&dancing
entertain_with	perform_with:fun_activity*&entertaining
perform_above	perform_with:stunt*&performing
perform_with	perform_with:group_activity*&performing
play_with	perform_with:team_activity*&playing
practice_with	perform_with:practice_routine*&practicing
regale_with	perform_using:storytelling_routine*&regaling
rehearse_with	perform_with:practice_routine*&rehearsing
sing_with	perform_with:song*&singing
persuade	obtain_from:agreement*&persuading, attract_with:persuasion&persuading
persuade_with	attract_with:believer*&persuading
advertise_with	inform_with:consumer*&advertising, communicate_through:advertisement*&advertising
amuse	imbue_with:amusement&amusing, perform_for:amusement*&amusing
appease	imbue_with:acceptance&appeasing
curry_favor_with	imbue_with:generosity&currying_favor, tend_with:flattery&currying_favor, seek_from:favor*&currying_favor
indulge	tend_with:indulgence&indulging
kiss_up_to	tend_with:flattery&kissing_up, seek_from:favor*&kissing_up
lick_up_to	imbue_with:generosity&licking_up, seek_from:favor*&licking_up
pander_to	seek_for:satisfaction*&pandering, tend_with:indulgence&pandering
please	imbue_with:pleasure&pleasing
spoil	damage_with:indulgence&spoiling
spoil:vote	damage_with:misuse&spoiling
suck_up_to	tend_with:flattery&sucking_up, seek_from:favor*&sucking_up
amaze	imbue_with:amazement&amazing
flatter	tend_with:flattery&flattering
amaze_with	perform_as:spectacle&amazing
favor	respect_as:favorite&favoring, select_as:favorite&favoring
advertise	display_with:advertisement&advertising, identify_as:must_have&advertizing
advertize	display_with:advertisement, identify_as:must_have&advertizing
market	display_with:publicity&marketing, enhance_with:publicity&marketing, communicate_about:promotion*&marketing
popularize	enhance_with:publicity&popularizing, identify_as:trend&popularizing
advertise_at	display_at:advertisement*&advertising
market_with	identify_with:product*&marketing
bake	produce_in:oven&baking, produce_from:dough&baking
blaze	produce_from:spark&blazing
breed	produce_from:gene&breeding
brew	produce_in:brewery&brewing, produce_from:ingredient&brewing
build	produce_from:building_block&building
carve	produce_from:raw_material&carving
code	produce_with:computer&coding, produce_from:symbol&coding
coin	produce_from:word&coining
compose	produce_from:pattern&composing
conceive	produce_from:seed&conceiving
concoct	produce_from:ingredient&concocting
construct	produce_from:component&constructing
cook	produce_in:kitchen&cooking, produce_from:ingredient&cooking
create	produce_from:inspiration&creating
define	produce_with:definition&defining, produce_from:symbol&defining
derive	produce_from:axiom&deriving
design	produce_from:specification&designing
distill	produce_from:ingredient&distilling, produce_with:still&distilling, produce_in:distillery&distilling
draw	produce_from:mark&drawing
drill	produce_with:drill&drilling
enact	produce_in:parliament&enacting, produce_from:vote&enacting
fabricate	produce_from:raw_material&fabricating
fill_out	produce_from:answer&filling_out
formulate	produce_from:element&formulating
generate	produce_from:action&generating
give_birth_to	produce_from:embryo&giving_birth
grind	produce_in:mill&grinding, produce_from:grain&grinding
mill:grain	produce_from:flour*&milling
grow	produce_from:foundation&growing
harvest	produce_from:seed&harvesting
hatch	produce_from:seed&hatching
illustrate	produce_from:marking&illustrating
implement	produce_from:specification&implementing
install	produce_from:blueprint&installing
invent	produce_from:idea&inventing
knit	produce_from:yarn&knitting, produce_with:knitting_needle&knitting
make	produce_from:raw_material&making
manufacture	produce_from:raw_material&manufacturing, produce_in:factory&manufacturing
match	produce_from:individual&matching
mill	produce_from:grain&milling, produce_in:mill&milling
originate	produce_from:inspiration&originating
paint	produce_from:paint&painting
pour	produce_for:customer&pouring
prepare	produce_from:component&preparing
print	produce_with:printing_press&printing
produce	produce_from:action&producing
publish	communicate_to:public, produce_with:printing_press&publishing
reconstruct	produce_from:fragment&reconstructing
record	produce_of:record*&recording
sculpt	produce_from:raw_material&sculpting
sew	produce_from:yarn&sewing, produce_with:sewing_needle&sewing
sketch	produce_from:marking&sketching
snap	produce_with:camera&snapping, produce_from:image&snapping
snap:camera	producd_with:photograph*&snapping
stitch	produce_from:stitch&stitching
synthesize	produce_from:chemical&synthesizing
tailor	produce_from:fabric&tailoring
tie	produce_from:rope&tying
tie:rope	produce_from:knot*&tying
type	produce_from:keystroke&typing
weave	produce_from:fibre&weaving
write	produce_from:word&writing, produce_with:pen&writing
calculate	produce_from:number&calculating
develop	produce_from:baseline&developing
dig	produce_with:shovel&digging
film	produce_from:image&filming, produce_with:camera&filming
shoot:film	produce_with:camera&shooting
program	produce_from:symbol&programming, produce_with:computer&programming
program_on	produce_for:program*&programming
cook_for	produce_for:dish*&cooking
create_for	produce_for:creation*&creating
design_for	produce_for:design*&designing
photograph_for	produce_for:photograph*&photographing
style_for	produce_for:fashion*&styling
write_for	produce_for:text*&writing
carve_from	produce_from:sculpture*&carving
cook_from	produce_from:dish*&cooking
bake_in	produce_in:baked_good*&baking
cook_in	produce_in:dish*&cooking
create_in	produce_in:creation*&creating
draw_in	produce_in:drawing*&drawing
manufacture_in	produce_in:product*&manufacturing
record_in	produce_in:record*&recording
sculpt_in	produce_in:sculpture*&sculpting
sketch_in	produce_in:sketch*&sketching
write_in	produce_in:text*&writing
fill	produce_in:molding*&filling
bake_on	produce_on:baked_good*&baking
build_on	produce_on:edifice*&building
draw_on	produce_on:illustration*&drawing
drill_into	produce_on:hole*&drilling
farm_on	produce_on:crop*&farming
paint_on	produce_on:illustration*&painting
print_on	produce_on:print*&printing
program_on	produce_on:program*&programming
weave_on	produce_on:weave*&weaving
write_on	produce_on:text*&writing
farm	produce_on:harvest*&farming
bake_with	produce_with:baked_good*&baking
breed_with	produce_with:breed*&breeding
brew_with	produce_with:concoction*&brewing
build_with	produce_with:edifice*&building
calculate_with	produce_with:calculation*&calculating
carve_with	produce_with:sculpture*&carving
code_with	produce_with:code*&coding
cook_with	produce_with:dish*&cooking
distill_with	produce_with:concoction*&distilling
draw_with	produce_with:illustration*&drawing
drill_with	produce_with:hole*&drilling
knit_with	produce_with:garment*&knitting
paint_with	produce_with:picture*&painting
photograph_with	produce_with:photograph*&photographing
print_with	produce_with:print*&printing
program_in	produce_with:program*&programming
program_with	produce_with:program*&programming
record_with	produce_with:record*&recording
sculpt_with	produce_with:sculpture*&carving
secure_with	produce_with:security_barrier*&securing
sew_with	produce_with:garment*&sewing
sketch_with	produce_with:sketch*&sketching
stitch_with	produce_with:seam*&stitching
type_with	produce_with:text*&typing
weave_with	produce_with:fabric*&weaving
write_with	produce_with:text*&writing
tally_with	produce_with:tally*&tallying
tattoo_with	produce_with:tattoo*&tattooing
film_with	produce_with:film*&filming
sum	produce_with:sum*&summing
cast_with	produce_with:spell*&casting, perform_using:spell*&casting
cast	propel_at:target&casting
cast:vote	support_with:candidate*&casting
hurl	propel_at:victim&hurling
propel	propel_with:forward_motion&propelling
push	propel_with:push&pushing
throw	propel_with:throw&throwing
pitch_for	propel_for:ball*&pitching
pitch_at	propel_at:ball*&pitching
throw_to	propel_to:projectile*&throwing
throw_with	propel_with:projectile*&throwing
defend	protect_with:defence&defending
guard	protect_with:oversight&guarding
insure	protect_with:insurance&insuring
preserve	protect_with:preservation&preserving
protect	protect_against:attack&protecting
rescue	protect_against:danger&rescuing, propel_from:danger&rescuing
safeguard	protect_against:danger&safeguarding
save	protect_against:danger&saving, propel_from:danger&saving
secure	protect_against:risk&securing
uphold	protect_against:violation&upholding
defend_against	protect_against:ally*&defending
mobilize_against	protect_against:ally*&mobilizing
parry	protect_against:self*&parrying
protect_against	protect_against:employer*&protecting
defend_with	protect_with:self*&defending
save_with	protect_with:resource*&saving
are_asked_for	^<seek_from:supplicant&asking
award	provide_to:awardee&awarding
dispense	provide_to:recipient&dispensing
distribute	provide_to:recipient&distributing
donate	provide_to:recipient&donating
export	provide_to:importer&exporting
file	provide_to:official&filing, provide_as:official_document&filing
give	provide_to:recipient&giving
grant	provide_to:recipient&grant, provide_as:grant&granting
hand_down	provide_to:recipient&handing_down, provide_as:legacy&handing_down
issue	provide_to:recipient&issuing
lend	provide_to:borrower&lending, provide_as:loan&lending
offer	provide_to:recipient&offering
offer_up	provide_to:superior&offering
pass_on	provide_to:recipient&passing_on, provide_as:legacy&passing_on
peddle	provide_to:customer&peddling
present	communicate_about:introduction*&presenting, display_with:presentation&presenting
provide	provide_to:recipient&providing
put_up	oppose_with:rival*&putting_up
reload	provide_to:weapon&reloading
reload:bullet	provide_to:gun&reloading
return	provide_to:supplier&returning
return:home	propel_to:self*&returning
sell	provide_to:customer&selling
sell_off	provide_to:customer&selling, stop_with:sell_off&selling
send	propel_to:receiver&sending, provide_to:recipient&sending
send:envoy, send:messenger, send:emissary, send:delegation	deploy_with:message&sending, propel_to:receiver&sending
share	provide_to:recipient&sharing
spread	provide_to:recipient&spreading, communicate_to:public&spreading
supply	provide_to:recipient&supplying
transplant	provide_to:recipient&transplanting, obtain_from:donor&transplanting
apply	provide_to:target&applying, enhance_with:target*&applying
apply:dressing	enhance_with:wound*&applying
promise	communicate_about:promise*&promising
sell_for	provide_for:product*&selling, perform_for:dealing*&selling
supply_for	provide_for:supply*&supplying
deliver_in	provide_from:delivery*&delivering, propel_in:delivery*&delivering
export_from	provide_from:export*&exporting, propel_from:export*&exporting
sell_at	provide_from:product*&selling
sell_from	provide_from:product*&selling
sell_in	provide_from:product*&selling
sell_on	provide_from:product*&selling
sell_through	<provide_from:product*&selling
sell_via	<provide_from:product*&selling
cater_for	provide_to:food*&catering
contribute_to	provide_to:contribution*&contributing
deposit_into	provide_to:fund*&depositing
distribute_to	provide_to:supply*&distributing, propel_to:delivery*&distributing
donate_to	provide_to:donation*&donating, support_with:donation&donating
export_to	provide_to:export*&exporting, propel_to:export*&exporting
give_to	provide_to:contribution*&giving
kit_out	provide_to:equipment*&equipping
lend_to	provide_to:loan*&lending
pay_out_to	provide_to:pay_out*&paying
rent_to	provide_to:rental*&renting
sell_out_to	provide_to:loyalty*&selling_out, obtain_from:bribe*&selling_out
sell_to	provide_to:product*&selling
send_to	provide_to:package*&sending, propel_to:package*&sending
share_with	provide_to:resource*&sharing, support_with:resource&sharing
ship_to	provide_to:shipment*&shipping, propel_to:cargo*&shipping
submit_to	provide_to:submission*&submitting
supply_to	provide_to:supply*&supplying
serve_with	provide_with:recipient*&serving
abandon	reject_with:coldness&abandoning, reject_as:outcast&abandoning
abdicate	reject_with:abdication&abdicating, reject_as:source_of_power&abdicating
are_exonerated_of	^<reject_for:judge&exonerating
are_pardoned_of	^<reject_for:governor&pardoning
ban	reject_as:contraband&banning
blacklist	reject_as:persona_non_grata&blacklisting
break_free_of	propel_from:self*&breaking_free&breaking_free, reject_as:controller*&breaking_free
break_with	reject_as:ally&breaking_with
cancel	reject_as:mistake&cancelling
cast_off	reject_as:detritus&casting_off
cast_out	reject_as:outcast&casting_out, reject_with:coldness&casting_out
censure	reject_as:heretical_voice&censuring&censuring
criminalize	reject_as:criminal&criminalizing
criminalize:sin	reject_as:crime&criminalizing
default_on	reject_as:bad_debt&defaulting
denounce	reject_as:persona_non_grata&denouncing
deny	reject_as:falsehood&denying
disavow	reject_as:ally&disavowing
discard	reject_as:detritus&discarding
dismiss	reject_as:error&dismissing
dispose_of	reject_as:detritus&disposing
disprove	reject_as:falsehood&disproving
disqualify	reject_as:competitor&disqualifying
divorce	reject_as:partner&divorcing
drop_out_of	reject_as:framework&dropping_out
dump	reject_as:detritus&dumping
eject	reject_as:outcast&ejecting
eschew	reject_as:mistake&eschewing
excommunicate	reject_as:communicant&excommunicating
expel	reject_as:unwanted_member&expelling
fire	reject_as:employee&firing
fire:firearm, fire:handgun, fire:gun, fire:pistol, fire:rifle, shoot:firearm, shoot:handgun, shoot:gun, shoot:pistol, shoot:rifle	propel_with:bullet*&firing, damage_with:target*&firing
fire:musket, shoot:musket	propel_with:ball*&firing
